model,station,split,score
full,1,0,4.068523044201372
full,1,1,3.8737381098331043
full,1,2,3.142485801901093
full,1,3,2.903122409793306
full,1,4,2.967756327722352
full,1,5,2.851731568466183
full,1,6,2.703580042762754
full,1,7,2.8593762712398694
full,1,8,2.574479123914902
full,1,9,2.796159149545889
full_temp,1,0,4.051610825228164
full_temp,1,1,3.855620137368605
full_temp,1,2,3.1265416476537036
full_temp,1,3,2.8995871689322907
full_temp,1,4,2.9633753112162142
full_temp,1,5,2.8501455279813657
full_temp,1,6,2.700110216829697
full_temp,1,7,2.8613547381047644
full_temp,1,8,2.575637065302315
full_temp,1,9,2.799660979311494
short_full,1,0,4.088303113342293
short_full,1,1,3.8846873297347586
short_full,1,2,3.171416859942956
short_full,1,3,2.9178296919243683
short_full,1,4,2.9425079750291703
short_full,1,5,2.8416722706008817
short_full,1,6,2.678844188269908
short_full,1,7,2.85091737114048
short_full,1,8,2.556787976479947
short_full,1,9,2.7694928731464716
short,1,0,3.908690815557867
short,1,1,3.836457366107825
short,1,2,3.0885130899797018
short,1,3,2.907252809777263
short,1,4,3.1287046454357155
short,1,5,2.9433081061395163
short,1,6,2.8762551302279435
short,1,7,2.9332555655676646
short,1,8,2.6965581873679394
short,1,9,2.957587770370282
short_full_temp,1,0,4.071084075753189
short_full_temp,1,1,3.868904167590809
short_full_temp,1,2,3.1579942285223455
short_full_temp,1,3,2.9143955390122565
short_full_temp,1,4,2.939552287936571
short_full_temp,1,5,2.840365872477868
short_full_temp,1,6,2.676282050839662
short_full_temp,1,7,2.8523832922916394
short_full_temp,1,8,2.5578501477061097
short_full_temp,1,9,2.772622757076764
short_temp,1,0,3.88084908615679
short_temp,1,1,3.817118017421032
short_temp,1,2,3.0724338142341336
short_temp,1,3,2.905975773148119
short_temp,1,4,3.1267706096915084
short_temp,1,5,2.943216083572896
short_temp,1,6,2.876782401554185
short_temp,1,7,2.9362717430313294
short_temp,1,8,2.7005477653428716
short_temp,1,9,2.965181800833863
full,2,0,3.579512184490985
full,2,1,3.648061248050015
full,2,2,2.9882262447506025
full,2,3,2.7604643045536115
full,2,4,2.845161627964129
full,2,5,2.6600827183680704
