weekday,hour,count,mean,lower,upper,minimum,maximum,median,first_quartile,third_quartile
Monday,0,1522,0.24091208911666384,-0.035732738825817456,0.5175569170591452,0.0,1.0,0.13333333333333333,0.0,0.4
Monday,1,1522,0.21398161522200143,-0.05902141517643,0.48698464562043287,0.0,1.0,0.08,0.0,0.34782608695652173
Monday,2,1522,0.20114668878945113,-0.06813221690085997,0.47042559447976223,0.0,1.0,0.06666666666666667,0.0,0.3333333333333333
Monday,3,1522,0.19570269995186673,-0.07218982830610776,0.4635952282098412,0.0,1.0,0.06666666666666667,0.0,0.3
Monday,4,1522,0.19000685160865705,-0.07575193748986386,0.45576564070717795,0.0,1.0,0.05,0.0,0.2962962962962963
Monday,5,1522,0.1911528965772208,-0.07073727456540646,0.45304306771984804,0.0,1.0,0.06666666666666667,0.0,0.29017857142857145
Monday,6,1522,0.20728754387315396,-0.04568674405090978,0.4602618317972177,0.0,1.0,0.1,0.037037037037037035,0.3
Monday,7,1522,0.2788754272156903,0.020007152671455475,0.5377437017599251,0.0,1.0,0.2,0.06666666666666667,0.4666666666666667
Monday,8,1522,0.36441148815025304,0.08549654068622059,0.6433264356142855,0.0,1.0,0.3333333333333333,0.13043478260869565,0.55
Monday,9,1522,0.46219972383725577,0.1360426620450938,0.7883567856294178,0.0,1.0,0.45,0.15,0.7391304347826086
Monday,10,1522,0.507132682744068,0.16927464576741796,0.844990719720718,0.0,1.0,0.52,0.2,0.8260869565217391
Monday,11,1522,0.5122066293904105,0.18700538497212044,0.8374078738087005,0.0,1.0,0.5217391304347826,0.2,0.8
Monday,12,1532,0.5319934465631714,0.2137294186136951,0.8502574745126477,0.0,1.0,0.55,0.25,0.8260869565217391
Monday,13,1532,0.4876255209281096,0.18174153067423865,0.7935095111819805,0.0,1.0,0.48,0.2,0.75
Monday,14,1532,0.3169918185877202,0.05190308058451548,0.5820805565909248,0.0,1.0,0.26666666666666666,0.07407407407407407,0.5
Monday,15,1532,0.22826615103075804,-0.009403444677657774,0.4659357467391738,0.0,1.0,0.13333333333333333,0.05,0.35
Monday,16,1532,0.2754770419723057,0.03815871255147468,0.5127953713931368,0.0,1.0,0.2,0.08695652173913043,0.4
Monday,17,1532,0.2975016290086665,0.0488455119450274,0.5461577460723056,0.0,1.0,0.25,0.1,0.45
Monday,18,1532,0.30616021634914453,0.05058516169040689,0.5617352710078822,0.0,1.0,0.25,0.1,0.45
Monday,19,1532,0.27562332247321514,0.026623841830133305,0.5246228031162969,0.0,1.0,0.2,0.06666666666666667,0.4
Monday,20,1532,0.23229714909898147,-0.01913902516829097,0.4837333233662539,0.0,1.0,0.13333333333333333,0.04,0.4
Monday,21,1532,0.1932211652803618,-0.059420297771980685,0.4458626283327043,0.0,1.0,0.06666666666666667,0.0,0.30434782608695654
Monday,22,1532,0.1945970432093562,-0.06940966241753063,0.458603748836243,0.0,1.0,0.06666666666666667,0.0,0.26666666666666666
Monday,23,1532,0.191406875231546,-0.07814744307604957,0.46096119353914156,0.0,1.0,0.05,0.0,0.26666666666666666
Tuesday,0,1522,0.17269767214195736,-0.09089853694698918,0.4362938812309039,0.0,1.0,0.043478260869565216,0.0,0.2222222222222222
Tuesday,1,1512,0.15866377238406545,-0.09928998590474072,0.41661753067287166,0.0,1.0,0.037037037037037035,0.0,0.2
Tuesday,2,1522,0.15040903582955442,-0.10458968989454512,0.405407761553654,0.0,1.0,0.03333333333333333,0.0,0.2
Tuesday,3,1532,0.14691084331257562,-0.10432399679864127,0.39814568342379253,0.0,1.0,0.03333333333333333,0.0,0.15
Tuesday,4,1532,0.1413872685050716,-0.10672265123043259,0.3894971882405758,0.0,1.0,0.03333333333333333,0.0,0.15
Tuesday,5,1522,0.14275108075915155,-0.10131520685603254,0.38681736837433567,0.0,1.0,0.043478260869565216,0.0,0.13333333333333333
Tuesday,6,1522,0.16811382832933494,-0.06976766842010465,0.40599532507877456,0.0,1.0,0.07407407407407407,0.0,0.2
Tuesday,7,1532,0.2419306414058707,-0.011428772302079199,0.4952900551138206,0.0,1.0,0.13333333333333333,0.05,0.3689083820662768
Tuesday,8,1532,0.3369007653313958,0.07694510213645034,0.5968564285263412,0.0,1.0,0.2962962962962963,0.12,0.5
Tuesday,9,1532,0.4497168691661327,0.13130461475661076,0.7681291235756547,0.0,1.0,0.44,0.15,0.7333333333333333
Tuesday,10,1532,0.5018950941763153,0.16916101694477936,0.8346291714078512,0.0,1.0,0.5185185185185185,0.2,0.8
Tuesday,11,1532,0.5057213258413269,0.17725623292305998,0.8341864187595938,0.0,1.0,0.5217391304347826,0.2,0.8
Tuesday,12,1532,0.5128607064214695,0.19510621761875624,0.8306151952241828,0.0,1.0,0.527536231884058,0.2,0.8
Tuesday,13,1532,0.4837217364178552,0.18402225495896102,0.7834212178767495,0.0,1.0,0.48148148148148145,0.2,0.75
Tuesday,14,1532,0.3004295998343958,0.04406922736792318,0.5567899723008685,0.0,1.0,0.25,0.06666666666666667,0.48148148148148145
Tuesday,15,1522,0.2194268676982118,-0.01527037754661964,0.4541241129430432,0.0,1.0,0.13333333333333333,0.05,0.3333333333333333
Tuesday,16,1522,0.2635505408939156,0.025911010978110327,0.5011900708097209,0.0,1.0,0.2,0.06666666666666667,0.4
Tuesday,17,1522,0.2936735944897084,0.040484540444163386,0.5468626485352535,0.0,1.0,0.2222222222222222,0.08695652173913043,0.45
Tuesday,18,1522,0.29996244162434893,0.04027032287946464,0.5596545603692332,0.0,1.0,0.21739130434782608,0.1,0.45
Tuesday,19,1522,0.2706859265799608,0.02089106060103421,0.5204807925588875,0.0,1.0,0.2,0.06666666666666667,0.4
Tuesday,20,1522,0.23317338712229596,-0.0133010121366329,0.47964778638122485,0.0,1.0,0.15,0.043478260869565216,0.35
Tuesday,21,1512,0.18672968722524935,-0.054107173132660474,0.42756654758315915,0.0,1.0,0.06666666666666667,0.0,0.3
Tuesday,22,1522,0.18424069331492654,-0.06491191138837538,0.43339329801822846,0.0,1.0,0.06666666666666667,0.0,0.26666666666666666
Tuesday,23,1512,0.1862355864799329,-0.07128453670928672,0.44375570966915256,0.0,1.0,0.06666666666666667,0.0,0.26666666666666666
Wednesday,0,1575,0.17380937268090274,-0.08956192329647178,0.43718066865827726,0.0,1.0,0.05,0.0,0.25
Wednesday,1,1605,0.1572431410413722,-0.10055968102240001,0.4150459631051444,0.0,1.0,0.037037037037037035,0.0,0.2
Wednesday,2,1605,0.14953417536434918,-0.105728856640289,0.4047972073689874,0.0,1.0,0.0,0.0,0.2
Wednesday,3,1605,0.1448236373381473,-0.10929145652758682,0.3989387312038814,0.0,1.0,0.0,0.0,0.15789473684210525
Wednesday,4,1605,0.14043638677988865,-0.11269998637610332,0.3935727599358806,0.0,1.0,0.0,0.0,0.14814814814814814
Wednesday,5,1595,0.14480995298949867,-0.10522594287469977,0.3948458488536971,0.0,1.0,0.043478260869565216,0.0,0.14814814814814814
Wednesday,6,1605,0.16876125893532148,-0.07321077042215426,0.4107332882927972,0.0,1.0,0.06666666666666667,0.0,0.2
Wednesday,7,1615,0.23707164414052365,-0.009511513687817275,0.48365480196886457,0.0,1.0,0.15,0.05,0.35
Wednesday,8,1615,0.3316353379710175,0.06696106027818977,0.5963096156638452,0.0,1.0,0.3,0.1,0.5
Wednesday,9,1615,0.42893631432463714,0.10645549790670733,0.751417130742567,0.0,1.0,0.4,0.13333333333333333,0.7
