hour,count,mean,lower,upper,minimum,maximum,median,first_quartile,third_quartile
0,2263,0.40722870755489937,0.06953865167253198,0.7449187634372667,0.0,1.0,0.34782608695652173,0.07037037037037036,0.7
1,2263,0.40850295526536484,0.06553540810512892,0.7514705024256008,0.0,1.0,0.3333333333333333,0.06666666666666667,0.7171428571428571
2,2263,0.40874738633348656,0.06307397443125873,0.7544207982357144,0.0,1.0,0.3333333333333333,0.06666666666666667,0.7333333333333333
3,2263,0.4113095469445346,0.06176273875432797,0.7608563551347411,0.0,1.0,0.3333333333333333,0.06666666666666667,0.7333333333333333
4,2263,0.41479202432717477,0.06294211531373672,0.7666419333406128,0.0,1.0,0.3333333333333333,0.06666666666666667,0.7333333333333333
5,2263,0.41546855654026826,0.06255933171664108,0.7683777813638955,0.0,1.0,0.3333333333333333,0.06666666666666667,0.75
6,2263,0.4107777355490659,0.06511342530769931,0.7564420457904324,0.0,1.0,0.3333333333333333,0.075,0.7333333333333333
7,2263,0.4027956351098992,0.07805624942233291,0.7275350207974655,0.0,1.0,0.3333333333333333,0.1,0.6915760869565217
8,2263,0.37054036598979023,0.07469807621588936,0.6663826557636912,0.0,1.0,0.3,0.11764705882352941,0.6
9,2263,0.37260884207136286,0.06644268442294232,0.6787749997197834,0.0,1.0,0.3,0.1,0.6
10,2263,0.3732044518500146,0.05705661957332897,0.6893522841267002,0.0,1.0,0.3,0.1,0.6
11,2263,0.36188422854333097,0.05466791401261295,0.669100543074049,0.0,1.0,0.2777777777777778,0.09411764705882353,0.6
12,2263,0.36654300545486196,0.0716684749536442,0.6614175359560797,0.0,1.0,0.3,0.11764705882352941,0.6
13,2263,0.3635575272852377,0.0826148562590403,0.6445001983114351,0.0,1.0,0.3,0.13333333333333333,0.5811403508771931
14,2263,0.35160634926702705,0.06806246299602559,0.6351502355380285,0.0,1.0,0.2916666666666667,0.10526315789473684,0.55
15,2263,0.362468805114645,0.07273443273126856,0.6522031774980215,0.0,1.0,0.3,0.10526315789473684,0.55
16,2263,0.36827392581689333,0.07795093169004907,0.6585969199437376,0.0,1.0,0.3,0.125,0.5833333333333334
17,2263,0.3683916627223928,0.08481439009876984,0.6519689353460159,0.0,1.0,0.3,0.13333333333333333,0.5683229813664596
18,2263,0.3637340617852385,0.07864167736954969,0.6488264462009272,0.0,1.0,0.3,0.125,0.56
19,2263,0.3586691928460329,0.0716160986589719,0.6457222870330939,0.0,1.0,0.3,0.11437908496732026,0.56
20,2263,0.36860209910936464,0.06916915612481905,0.6680350420939103,0.0,1.0,0.3,0.1,0.6
21,2263,0.3808112220507106,0.06410223781212282,0.6975202062892985,0.0,1.0,0.3333333333333333,0.1,0.625
22,2263,0.4051152094519924,0.07840117079831121,0.7318292481056736,0.0,1.0,0.3333333333333333,0.1,0.6666666666666666
23,2263,0.4109343641803491,0.07843937642866289,0.7434293519320354,0.0,1.0,0.35,0.1,0.7
